jaanaa,जानाँ
swapn,स्वप्न
talamalaaye,तल्मलाये
kaayar,कायर
deewane,दीवानी
cha,च
mahangaai,महंगाई
vaalmeek,वाल्मीक
lahek,लहक
jhagadate,झगड़ते
lagaana,लगाना
jhulein,झूलें
laalimaa,लालिमा
kandhon,कंधों
chalun,चलूँ
jaye,जायें
duaaye,दुआएँ
unche,ऊँचे
jawani,जवानी
naachoongi,नाचूँगी
aasare,आसरे
dupattaa,दुपट्टा
chaahongi,चाहोगी
jaaegaa,जाएगा
paiyyan,पैंयाँ
payenge,पायेंगे
bech,बेच
sharamaayi,शरमायी
paane,पाने
doobegi,डूबेगी
dilbar,दिल्बर
tarase,तरसे
suurat,सूरत
tukdon,टुकड़ों
tumhaaraa,तुम्हारा
loi,लोई
chaandni,चांदनी
palkhein,पलकें
viraaje,विराजे
duaen,दुआएँ
jhukte,झुकते
ittefaq,इत्तेफ़ाक़
baawariya,बावारिया
parayo,परायो
lakshya,लक्ष्य
mayakhaane,मयखाने
qutub,क़ुतुब
kran,क्रन
kazaane,ख़ज़ाने
duaaon,दुआओं
lengii,लेंगी
tujhe,तुझ
saayaa,साया
lutaaein,लुटाएं
hasate,हसाते
shalo,शालों
khizaan,ख़िज़ां
garmaaya,गर्माया
bombay,बम्बई
geeta,गीता
yaar,या
muqadaaron,मुक़द्दरों
chuda,चूड़ा
rimjhim,रिमझिम
nazdik,नज़दीक
siskate,सिसकते
ubhar,उभर
sincha,सिंचा
haaregaa,हारेगा
veer,वीर
mad,मद
chubte,चुभते
raakho,राखो
milati,मिलाती
kinse,किनसे
beri,बेरी
modake,मोड़के
aawaaj,आवाज
divana,दीवाना
dikhalaaoonga,दिखलाऊँगा
bajaaunga,बजाऊंगा
kaalee,काली
bhed,भेद
jindegani,ज़िंदगानी
behne,बेह्ने
buudaa,बूदा
mukaranaa,मुकरना
dushhyant,दुष्यन्त
lagaay,लगाई
dhadakaataa,धड़काता
aazad,आज़ाद
lipat,लिपट
rakho,रखो
baadi,बाड़ी
tyaagi,त्यागी
chori,चोरी
kamana,कामना
sohani,सोहणी
mujko,मुझको
vaar,वार
samaaya,समाय
katilaa,कटीला
baahon,बाहोन
chukaana,चुकाना
gunagunaate,गुनगुनाते
kaanto,काँटों
charavat,चरावत
andaaj,अंदाज
cheen,चीन
kahoonga,कहूंगा
bunate,बुनते
armaano,अरमानो
walo,वालों
chuumuun,चूमूँ
bahakataa,बहकता
kawalli,कावल्ली
kaafile,क़ाफ़िले
aanewale,आनेवाले
nibhayi,निभाई
pahanaa,पहना
banata,बनता
ghuse,घुसे
firaq,फ़िरक़
kuladeep,कुलदीप
kaayi,काई
kumati,कुमति
bichhaadun,बिछादूँ
maahiyaa,माहिया
pujaa,पूजा
bekar,बेकार
sehti,सहती
qaabuu,क़ाबू
lutati,लुटती
chaaragon,चाराग़ों
pakalenge,पकलेंगे
puchhen,पूछें
unamen,उनमें
se,से
ganwa,गंवा
dekhyo,देख्यो
humko,हमको
chah,चाह
parayi,पराई
sabaab,सबाब
guzrengi,गुज़रेंगी
gaauungi,गाऊँगी
upavan,उपवन
intezari,इंतज़ारी
uttam,उत्तम
chhaun,छाऊँ
dishaaen,दिशाएं
haqeeqat,हक़ीक़त
deewano,दीवानो
hasa,हँसा
upawan,उपवन
maastar,मास्टर
launda,लौंडा
kukudun,कुकुड़ूं
zameenon,ज़मीनों
taasir,तासीर
daari,डारि
pigal,पिघल
aasman,आसमां
ehsaan,एहसान
udhdhaar,उद्धार
suhaanee,सुहानीइ
majaaz,मजाज़
jhaakh,झाँक
pagal,पगल
mahimaa,महिमा
karanewaali,करनेवाली
bhiker,भिकेर
bandhwaale,बँधवाले
taage,तागे
dusari,दूसरी
jhoomane,झूमने
khud,खुद
kanyaakumaari,कन्याकुमारी
hanske,हंसके
jitaa,जीता
walawale,वलवले
dilo,दिल
chahya,छाया
kaliyan,कालिया
milakara,मिलकर
chalogii,चलोगी
aaj,आये
jalane,जाने
gehraiyaan,गहराईयां
see,सेए
bida,बीड़ा
aao,आवो
gi,गी
saasoon,साँसों
daagi,दागी
paaonga,पाऊँगा
bhuulegii,भूलेगी
zaat,जात
meharbaan,मेहरबान
tumare,तुमरे
ganwaai,गँवाई
papiiha,पपीहा
jaaegi,जाएगी
preeta,प्रीत
roote,रूठे
talashme,तलाशमे
oh,ओं
purajaa,पुरजा
uddharate,उद्धरते
bhaat,भात
nazaro,नज़ारो
paayengi,पाएँगी
bigadega,बिगड़ेगा
vasallam,वसल्लम
aarati,आरती
svayamvar,स्वयम्वर
milaayenge,मिलायेंगे
kitane,कितने
kaano,कानों
manabhaate,मनभाते
beqaraari,बेकरारी
gaaungaa,गाऊंगा
muskaayaa,मुस्काया
dilnavaazi,दिलनवाज़ी
gajar,गजर
taaro,तारो
bedard,बेदर्द
sunalo,सुनलो
tumse,तुम्से
duboti,डुबोती
namakin,नमकीन
beetein,बीतें
sannaaton,सन्नाटों
girade,गिरादे
hina,हिना
paavon,पावों
khoyenge,खोएंगे
fikar,फ़िक्र
ankhiya,अँखिया
khaab,ख्वाब
kaabon,ख़ाबों
qaayada,क़ायदा
jataane,जताने
hin,हिन
varta,वार्ता
lehrayee,लहराये
chhora,छोरा
mitwaa,मितवा
takadiir,तकदीर
anchhaale,अंछाले
sahii,सही
nabiin,नबीं
lutf,लुत्फ़
mister,मिस्तेर
saab,साब
jaaoonga,जाऊंगा
chhute,छुटे
kuubasuurat,ख़ूबसूरत
kafile,काफिले
sambhaali,सम्भाली
paracham,परचम
hadd,हद्द
nibhaayuungi,निभाऊंगी
mahsoos,महसूस
ankal,अंकल
khaaye,खाने
jataa,जता
jhaal,झाल
tole,तोले
jiyara,जियारा
des,देस
intazaar,इंतज़ार
davaaon,दवाओं
boloongi,बोलूँगी
besahram,बेसहराम
akhir,अखिर
vasla,वस्ल
halka,हल्का
shere,शेरे
bharenge,भरेंगे
paaya,पाया
faili,फैली
nita,नित
judadi,जुदाई
qisamat,क़िसमत
doulat,दौलत
lagi,लागी
shravan,श्रवन
diivaana,दीवाना
menhadiya,मेंहदिया
sataati,सताती
mard,मर्द
chhupaana,छुपाना
qatare,क़तरे
machalana,मचलना
susar,सुसर
chhun,चुन
ulajhaaye,उलझाए
mahangi,महंगी
taron,तारों
angadaaiiyaan,अंगड़ाईयां
chipa,छिपा
tabaan,तबान
mubaaraq,मुबारक़
itta,इत्ता
duubi,डूबी
chahungi,चाहूंगी
jaloon,जलूँ
milegi,मिलेगी
tunu,तुनु
purafan,पुरफ़न
kaaron,ख़ारों
abhinandan,अभिनन्दन
hawaayein,हवाएँ
nachegi,नाचेगी
bhoolungi,भूलूंगी
shruti,श्रुति
nagmein,नग़में
luka,लूका
bedaa,बेड़ा
bun,बुन
saadha,सादा
muft,मुफ़्त
chitawat,चितवत
rangeen,रंगीन
sajaaungi,सजाऊंगी
leeni,लीनी
motee,मोती
maanati,मानती
pesha,पेशा
dhanavaalon,धनवालों
dub,डूब
lakhiyan,लखियन
kinaare,किनारे
nale,नाले
karun,करूँ
sahala,सहला
beena,बीना
alabelavaa,अलबेलवा
botan,बोतन
bekaaraari,बेकरारी
majabooree,मजबूरी
paheli,पहेली
taraazu,तराज़ू
tarasaata,तरसाता
najaro,नाज़रों
dasane,डसने
tana,तना
chhai,छाई
bulabuliya,बुलबुलिया
ruukii,रुकी
jag,जा
kaafila,काफिला
mitataa,मिटता
qarin,क़रीं
mushkile,मुश्किलें
sikandar,स्कंदर
usme,उसमे
anguri,अन्गूरी
disi,दिसी
boyega,बोयेगा
khewaiya,खेवैया
meera,मीरा
bahega,बहेगा
nigaahon,निग़ाहों
tezab,तेज़ाब
maarda,मार्दा
deevaane,दीवाने
jel,जेल
nazaare,नज़ारे
mittenge,मिटटेंगे
barasenge,बरसेंगे
isake,इसके
haansi,हाँसी
bura,बुरा
chhum,छूम
paanw,पांव
darra,डरा
nibhaanaa,निभाना
bimla,बिमला
begaanon,बेगानों
marein,मरें
daaram,दारम
hotel,होटेल
takraa,टकरा
jii,जी
aansuyon,आँसुओं
mehko,महको
sulaauungi,सुलाऊंगी
saraabi,शराबी
giridhar,गिरिधर
bail,बैल
pareshan,परेशान
chhoda,छोड़
kah,का
chade,चड़े
said,साइड
bitaa,बिता
aazmaaya,आज़माया
chadhaaun,चढ़ाऊँ
sii,सी
bairaniya,बैरनिया
uthari,उतारी
nyaari,न्यारी
ugale,उगले
maaya,माया
hawa,हवा
dekhat,देखत
sultaanaa,सुल्ताना
kahalaayii,कहलायी
nandaniyaa,नन्दनिया
sazda,सज़दा
kahete,कहते
gaauungaa,गाऊंगा
poochhuun,पूछूँ
humesha,हमेशा
tarasatii,तरसती
zalim,ज़ालिम
ruh,रूह
bandhu,बन्धु
kavitaa,कविता
beenaa,बीना
esse,इसी
maaniya,मानिया
chukaayega,चुकाएगा
paulaad,पौलाद
kholaa,खोला
chaandaniya,चाँदनिया
bataaenge,बताएंगे
poochhuungi,पूछूँगी
gagar,गगर
akhiyan,अखियाँ
sapona,सपोना
behlayega,बहलाएगा
rehjaoonga,रहजाऊँगा
kaalaruup,कालरूप
katata,कटता
mahina,महिना
jhamela,झमेला
sambhal,संभाल
dhima,धीमा
darre,डरे
qabu,क़ाबू
justajoo,जुस्तज़ू
hasinon,हसीनों
kahata,कहता
jugno,जुगनूं
khwaabo,ख़्वाबों
parabhaat,परभात
pass,पास
chhedhne,छेड़ने
kavalaani,कवलानी
jeeja,जीजा
rukii,रुकी
churaayaa,चुराया
huae,हुए
rupapujaari,रूपपुजारी
rukva,रुकवा
dostii,दोस्ती
besahaaraa,बेसहारा
ruuth,रूठ
sidhaare,सिधारे
bhole,भोली
rulaana,रुलाना
mehboob,महबूब
phenka,फेंका
sakoongi,सकूंगी
tori,तोरी
baiyaa,बैंया
bhelapoori,भेलपूरी
jaane,जान
haara,हारा
dilane,दिलने
chunta,चुनता
lalchaunga,ललचाऊँगा
jagana,जगना
khaamoshi,खामोसी
peheli,पहेली
legaa,लेगा
gizaa,गिज़ा
besaakh,बेसाख
gurudvaare,गुरुद्वारे
duba,डूबा
dikha,दिखा
jago,जगो
jagaunga,जगाऊंगा
patawaari,पटवारी
beva,बेवा
kaunde,कौन्दे
deed,दीद
jhulaaungi,झुलाऊँगी
tyohar,त्योहार
nishaniya,निशानियां
gavaaraa,गवारा
baniyon,बनियों
khaana,खाना
samjhao,समझाओ
waterfall,वतेर्फ़ल्ल
chillaati,चिल्लाटी
badaliyaan,बदलियाँ
sutuun,सुतून
laayen,लाएं
putle,पुतले
unka,उनका
jaane,जाए
bhuuli,भूली
dildara,दिलदार
koke,कोके
bacche,बच्चे
khudaya,ख़ुदाया
aandhiyon,आँधियों
pahaadi,पहाड़ी
sipaahiyon,सिपाहियों
man,मन
muskurayegaa,मुस्कुराएगा
naram,नरम
bolun,बोलूं
dehlijon,दहलीजों
thukaraaii,ठुकराई
jawaab,जवाब
hansini,हंसिनी
mangi,मांगी
chada,चढ़ा
khafa,कहाँ
landan,लंदन
lallallaa,लल्लल्ला
puchhenge,पूछेंगे
samajhoongi,समझूँगी
surang,सुरन्ग
farmaao,फ़र्माओ
chhori,छोरी
tizaarat,तिजारत
paakit,पाकिट
jaltarang,जलतरंग
balamwa,बलमवा
pahne,पहने
doosre,दूसरे
vohi,वही
sitamb,सितम
joodi,जोड़ी
thaanedaar,थानेदार
gehra,गहरा
raatri,रात्रि
gya,गया
chupke,चुप्के
toone,तूने
lehraai,लहराई
nibhaaenge,निभायेंगे
jagane,जगने
choki,चोकी
betaabiya,बेताबियाँ
thodasa,तोडसा
lehraati,लहराती
sake,सके
zanjeer,ज़ंजीर
hamara,हमार्रा
rahna,रहना
anguthi,अंगूठी
sajaai,सजाई
birahaa,विरहा
firoon,फ़िरूँ
vafaaen,वफ़ाएं
hasiinon,हसीनों
bahakate,बहकते
baalakapan,बालकपन
leekar,लेकर
kisakaa,किसका
bhadaken,भड़कें
gawaara,गवारा
dasse,डाससे
biraaje,बिराजे
banani,बनानी
shuru,शुरु
chhitar,छितर
takadeeron,तक़दीरों
nahi,नाहीं
jalaatee,जलाती
samjhana,समझाना
vaadiyaan,वादियाँ
kyaariya,क्यारिया
thaana,ठाना
gabrati,घबराती
muya,मुआ
tufaani,तूफ़ानी
pum,पम
chanchal,चन्चल
ilahabaadi,इलाहबादी
kholata,खोलता
sarv,सर्व
pilaane,पिलाने
sadke,सड़के
barasataa,बरसता
ghabraataa,घबराता
siyaase,सियासे
barahan,बरहन
paraayo,परायो
andhiyaari,अँधियारी
darja,दरजा
daant,दाँत
mhaaro,म्हारो
rachege,रचेगी
sajta,सजता
qatara,क़तरा
khaayaa,खाया
jamaane,जमाने
giraya,गिराया
mose,मोसे
bithakar,बिठाकर
priit,प्रीत
manni,मन्नी
kanvari,कँवारी
diwaanee,दीवानी
talati,टलती
bandi,बंदी
parchhaiyon,परछाइयों
nuqasaan,नुक़सान
turkii,तुर्की
pasaar,पसार
intezaar,इंतज़ार
abhilaasha,अभीलाशा
kalpana,कल्पना
jaano,जानो
mujhe,मुझ
tiikhaa,तीखा
sitaarein,सितारें
siyah,सियाह
kokh,कोख
mera,मेरे
paiya,पैया
aapne,अपने
deevaana,दीवाना
shiqaayate,शिक़ायते
ka,का
udaa,उड़ा
banaaon,बनाऊँ
paarai,पराई
subhein,सुबहें
anjane,अन्जाने
zakhmo,ज़ख़्मों
chatapata,चटपटा
suljhane,सुलझाने
faasale,फ़ासले
ise,इसे
gahan,गहन
koti,कोटि
bairaagan,बैरागन
bachaaye,बचाए
misaal,मिसाल
painjani,पैंजनी
lipataae,लिपटाए
turi,टूरी
maanu,मानु
saas,सांस
haseenaayen,हसीनाएँ
maharabaanon,महरबानों
wala,वल
jhankaar,झंकार
nimbooda,निम्बूड़ा
aaegaa,आएगा
mahfil,मह्फ़िल
dikhaavo,दिखावो
begunaah,बेगुनाह
aakhen,आँखें
hawaao,हवाओं
phere,फेरे
pahanoon,पहनूँ
dhamaakaa,धमाका
anmol,अन्मोल
aadaab,आदाब
ghataayen,घटायें
lagaane,लगाने
agge,अग्गे
jinka,जिनका
bahi,बही
tark,तर्क
aaiya,आइया
raston,रस्तों
chhu,चू
aksar,अक्सर
bulaataa,बुलाता
lahraayen,लहराएँ
uda,उड़ा
milega,मिलेगे
parde,पर्दे
nichhaavar,निछावर
amabar,अमबर
musalamaanon,मुसलमानों
jamake,जमके
dikhaye,दिखाए
bijalee,बिजली
narmada,नर्मदा
udaye,उड़ाए
tanhaa,तनहा
jayenge,जाएंगे
chhutakar,छुटकर
khaya,खाया
thukrana,ठुकराना
nindar,निन्दर
karegii,करेगी
qurbaani,क़ुर्बानी
kitni,कित्नी
nipat,निपात
sazaayen,सज़ायें
unvaan,उन्वाँ
nark,नर्क
rubaan,रुबां
miley,मिले
shaayar,शायर
sanjh,साँझ
janchataa,जंचता
more,मोर
piya,पीया
badalega,बदलेगा
khaal,खाल
rangaraliyaa,रंगरलियाँ
dhikkar,धिक्कार
hamdardi,हमदर्दी
yaaro,यारों
khole,खूले
jukaye,झुकाये
bichhaane,बिछाने
daalun,डालूँ
modana,मोड़ना
deejiye,दीजिए
samundar,समंदर
hoven,होवें
asali,असली
ugaayenge,उगाएँगे
churaai,चुराय
ugne,उगने
bajaayegaa,बजायेगा
ladani,लड़नी
aandhiyaan,आँधियाँ
mukadi,मुकदी
waadey,वादे
aoni,आओनी
pyale,प्याले
jabse,जबसे
gariib,गरीब
matavaaraa,मतवारा
ayaa,आया
saanvali,साँवली
bichhud,बिछुड़
jisane,जिसने
musakaavuun,मुसकावूँ
haseen,हसीं
sarab,सरब
bujhaye,बुझाये
degee,देगी
bhukhon,भूखों
sikhaataa,सिखाता
joda,जोड़ा
navaaz,नवाज़
bulaatin,बुलातीं
mandir,मन्दिर
khayalon,ख़्यालों
khwaahish,ख्वाहिश
sahoongi,सहूँगी
karegi,करेगी
paavaave,पावावे
gata,घटा
uthaayi,उठायी
shinaaki,शिनाकी
juuti,जूती
pahan,पहन
manaayenge,मनाएंगे
arre,अर्रे
gayiyaan,गईयाँ
madhoshiyaan,मदहोशियाँ
bataaon,बाताओ
shiriimati,शिरीमती
jagayega,जगाएगा
pappiyan,पप्पियाँ
andher,अंधेर
bichhe,बिछे
gvaalaa,ग्वाला
ris,रिस
govind,गोविंद
araj,अरज
bataauun,बताऊँ
saliikaa,सलीका
dan,दन
taare,तारें
udan,उड़न
diwaane,दीवानें
jhilamilaati,झिलमिलाती
piyenge,पिएँगे
daalenge,डालेंगे
unakaa,उनका
luti,लूटी
faag,फ़ाग
bachon,बचों
rind,रिंद
tihaari,तिहारी
machaae,मचाए
sabake,सबके
rangilaa,रंगीला
tardi,तार्दी
allaa,अल्लाह
banavaari,बनवारी
konaa,कोना
bijaliyon,बिजलियों
banware,बावरें
bablu,बबलू
chaaha,चाह
muskaaya,मुस्काया
rahata,रहता
jhuume,झूमे
elan,एलान
dikhalaaoon,दिखलाऊँ
maththa,मत्ता
len,लेन
sulaayega,सुलायेगा
bijlii,बिजली
nimmi,निम्मि
usamein,उसमें
zindagani,ज़िन्दगनी
girengi,गिरेंगी
khilaaega,खिलाएगा
roki,रोकी
chalte,चल्ते
saasen,साँसें
pankhe,पंखे
sune,सूने
lehra,लहरा
behlate,बहलाते
baina,बैना
bujhey,बुझे
gaaoongi,गाऊँगी
zindagaani,ज़िंदगनी
raheti,रहती
isaka,इसका
chaahana,चाहना
chakkaa,चक्का
daaminii,दामिनी
zindagaanii,ज़िन्दगानी
qasuur,क़सूर
khanakegi,खनकेगी
gajaraa,गजरा
gehraa,गहरा
bhulega,भूलेगा
jatam,जतम
moree,मोरी
mahiinaa,महीना
taqadir,तक़दीर
banaataa,बनाता
aamber,आमबर
koshish,कोशिश
maang,माँग
raamaa,रामा
badhataa,बढ़ता
bikhara,बिखरा
kokil,कोकिल
bajege,बजेंगे
lukka,लुक्क
beeten,बीतें
peeng,पींग
bujhti,बुझती
isakuul,इसकूल
rehmat,रहमत
basaa,बसा
baiyyaa,बैयाँ
sulaay,सुलाय
ulajha,उलझा
barasaatein,बरसातें
khayaalon,ख़्यालों
qayenaat,कायनात
maanoo,मानूँ
swaami,स्वामी
madhubaini,मधुबैनी
chhupaunga,छुपाऊँगा
sub,सब
sabaq,सबक़
badhati,बढ़ती
sola,सोला
maangon,मांगों
qaabu,काबू
dubaaraa,दुबारा
nibhai,निभाई
gai,घड़ी
maangenge,माँगेंगे
pirona,पिरोना
daanaveer,दानवीर
nivahate,निवहते
per,पर
tumhri,तुमरी
maiyya,मैया
ajeebsi,अजीब
kaleja,कलेजा
padaa,पड़ा
kaam,काम
hamara,हमारे
balkha,बलखा
bechata,बेचता
nahie,नहीं
julate,जुलते
jitega,जीतेगा
batein,बातें
dholki,डोली
hamein,हमीं
pahaluu,पहलू
pooja,पूजा
shaamein,शामें
shararon,शरारों
lal,लाल
qaaboo,क़ाबू
hat,हट
merii,मेरी
bahaae,बहाए
jalaaen,जलाएँ
guzaare,गुज़ारे
viraha,विरह
humeein,हमें
daalaa,डाला
aasma,आस्मा
dekhne,देखना
binaayi,बीनाई
isee,इसी
kabu,काबु
kapata,कपत
sunane,सुनाने
sikh,सिख
kahanda,कहंदा
bahakata,बहकता
andhe,अंधे
poochi,पूछी
kyoun,क्यूँ
bigadataa,बिगड़ता
maidaan,मैदान
nikamma,निकम्मा
dabaaye,दबाए
pyaasee,प्यासी
puuje,पूजे
sharmaata,शरमाता
badaamaan,बदामाँ
ramaiya,रमैया
baato,बातों
miloongi,मिलूँगी
gyaaraah,ग्यारा
jhadiyaan,झड़ियाँ
sochu,सोचु
dulahaniya,दुलहनीया
pukaariye,पुकारिए
tumhre,तुम्ही
pyaaro,प्यारों
churaya,चुराया
gaamini,गामिनी
kamali,कमली
jithe,जीते
fayda,फ़ायदा
vee,वी
kuke,कूके
povare,पोवरे
ashikime,आशिकीमे
anguthe,अँगूठे
juramaane,जुरमाने
sarhadon,सरहदों
lutenge,लुटेंगे
zamir,ज़मीर
mitaanevaala,मिटानेवाला
muskuraye,मुस्कुरायें
up,उप
kie,के
bakkad,बक्कड़
bhigoi,भिगोई
tukuma,तुकुमा
daar,दार
mitayenge,मिटायेंगे
bahaney,बहाने
baalama,बालमा
sason,साँसों
pakane,पकने
paymaana,पैमाना
ram,राम
dikhao,दिखाओ
zaahir,ज़ाहिर
karne,करने
machaaye,मचायें
goriya,गोरिया
haavada,हावड़ा
todaa,तोड़ा
raanii,रानी
birah,बिरह
mohalat,मोहलत
seete,सीते
dis,दिस
chalaayin,चलाईं
bahaara,बहार
purabahaar,पुरबहार
wehshi,वहशी
basaiya,बसैया
justajoo,जूसताजू
kvaab,ख़्वाब
chamakna,चमकना
bolungi,बोलूँगी
dukhi,दुखी
palakdas,पलकदस
jhuumeinge,झूमेंगे
chaahongi,चाहूँगी
leheki,लहकी
afsaana,अफ़्साना
jiyein,जियें
gungunati,गुनगुनाती
hansegi,हँसेगी
parvaanaa,परवाना
ulajhaaun,उलझाऊँ
reshmi,रेश्मी
andheraa,अँधेरा
kamajor,कमजोर
khankayi,खनकाई
khoya,खोया
saleeb,सलीब
lailahaae,लैलहाए
mubarak,मुबारक
dilavaali,दिलवाली
matlabi,मतलबी
maruungi,मरूंगी
muskaayegi,मुसकाएगी
hamaarii,हमारी
saralaan,सरलां
jhukaave,झुकावे
bikheraa,बिखेरा
azaad,आज़ाद
machegi,मचेगी
saihmi,सहमी
karan,कारण
bekarar,बेक़रार
mangaai,मँगाई
sayaani,सयानी
jinase,जिनसे
talawaaren,तलवारें
reha,रह
hirani,हिरणी
maujon,मौजों
mitaanaa,मिटाना
dilaayaa,दिलाया
praanon,प्रानों
utne,उठने
udta,उड़ता
keejiye,कीजिये
palki,पालकी
nashila,नशीला
najaara,नज़ारा
jayeega,जाएगा
lakeeron,लकीरों
faasalaa,फ़ासला
hatale,हटाले
musalasal,मुसलसल
chhipaae,छिपाए
tofaan,तूफ़ान
parchaiyaan,परछाईयां
armanoki,अरमनोकी
kintu,किन्तु
daastaan,दास्तान
vich,विच
churayega,चुराएगा
hur,हूर
bhigoyi,भीगोई
nyaaya,न्याय
daana,दाना
lutaayenge,लुटाएँगे
aasataan,आसताँ
insaan,इन्साँ
lagane,लगाने
thirake,थिरके
rere,रेरे
sukhon,सुखों
parat,परत
dinon,दीनों
mushakila,मुशकिल
pahchane,पहचाने
badhti,बढ़ती
dhundli,धुँधली
jang,जंग
khona,खोना
avaz,आवाज़
chalo,चलो
total,टोटल
ankho,आँखों
dina,दीना
qayamat,कयामत
sehre,सहरे
barat,बारात
udaasee,उदासी
mitaayi,मिटाई
poojenge,पूजेंगे
shama,शाम
jaahaan,जाहाँ
rag,रग
malik,मालिक
chahata,चाहता
gaaje,गाजे
maadhuri,माधुरी
karajva,करजवा
uthti,उठती
batalaayuun,बतलाऊँ
muunh,मूँह
dhaaron,धारों
kyaalon,ख़्यालों
tufan,तूफ़ाँ
dulhaniya,दुल्हानिया
jiinaa,जीना
dukhte,दुखते
tadapoo,तड़पूँ
qatl,क़त्ल
sharir,शरीर
rakhke,रखके
chhamat,छमात
gaayen,गायेँ
saiyaan,सैयाँ
paalanahaar,पालनहार
naagaraajaa,नागराजा
hasati,हसती
baadalo,बादलो
paalataa,पालता
uthaayen,उठाएं
chhuri,छूरी
fokat,फोकट
saya,साया
saj,सज
sohniye,सोहनिए
param,परम
mastaanaa,मस्ताना
bujhane,बुझाने
sahari,सहरी
chhupaalo,छुपालो
barachhi,बरछी
lakir,लकीर
lo,ल
padoo,पड़ूँ
daramiyaan,दर्मियां
farishton,फ़रिश्तों
lagaae,लगाए
rup,रूप
sadaaye,सदाएँ
jaagoon,जागूँ
baahar,बहार
dhuli,धुली
karaao,कराओ
chunari,चुनरि
diwaangi,दीवानगी
bisaarenge,बिसारेंगे
saawalee,साँवली
maarenge,मारेंगे
sataayegi,सतायेगी
barchaa,बरछा
usame,उसमे
lout,लौट
chahein,चाहें
chakka,चक्का
poochh,पूछ
ibadat,इबारत
maahin,माहिं
sultana,सुल्ताना
tobe,तोबे
basi,बसी
taaka,ताका
jaya,जया
mitt,मित्त
halaki,हलकी
maahol,माहॉल
